,BS_plot,SampleYear,p_ram,group,fire_status,elevation,slope,dead_live_ratio,SE Class,stem_count,fire_presence
1484,BS416,2013,0,dolan,Fire,580,42,0.12658227848101267,SESE_L,79,0
1485,BS416,2018,0,dolan,Fire,580,42,0.09782608695652174,SESE_L,92,0
1486,BS416,2021,0,dolan,Fire,580,42,2.9473684210526314,SESE_L,19,1
1487,BS420,2007,0,dolan_chalk,Fire,554,31,0.7407407407407407,SESE_L,27,0
1488,BS420,2009,0,dolan_chalk,Fire,554,31,0.8823529411764706,SESE_L,17,1
1489,BS420,2021,0,dolan_chalk,Fire,554,31,1.75,SESE_L,8,1
1490,BS423,2006,0,dolan_chalk,Fire,106,41,0.08888888888888889,SESE_L,45,0
1491,BS423,2009,0,dolan_chalk,Fire,106,41,0.7083333333333334,SESE_L,24,1
1492,BS423,2021,0,dolan_chalk,Fire,106,41,1.6111111111111112,SESE_L,18,1
1494,BS426,2006,0,dolan_chalk,Fire,226,34,0.14285714285714285,SESE_L,14,0
1495,BS426,2009,0,dolan_chalk,Fire,226,34,1.25,SESE_L,8,1
1496,BS426,2010,0,dolan_chalk,Fire,226,34,0.5882352941176471,SESE_L,17,1
1497,BS426,2013,0,dolan_chalk,Fire,226,34,0.21212121212121213,SESE_L,33,1
1498,BS426,2018,0,dolan_chalk,Fire,226,34,0.13513513513513514,SESE_L,37,1
1499,BS426,2021,0,dolan_chalk,Fire,226,34,3.875,SESE_L,8,1
1503,BS429,2007,1,sober,Fire,351,35,0.0,SESE_L,2,0
1504,BS429,2009,1,sober,Fire,351,35,0.0,SESE_L,3,0
1505,BS429,2010,1,sober,Fire,351,35,0.0,SESE_L,3,0
1506,BS429,2013,1,sober,Fire,351,35,0.0,SESE_L,5,0
1507,BS429,2018,1,sober,Fire,351,35,0.6666666666666666,SESE_L,3,1
1508,BS429,2022,1,sober,Fire,351,35,0.0,SESE_L,5,1
1511,BS433,2007,1,sober_chalk,Fire,350,34,0.2222222222222222,SESE_L,9,0
1512,BS433,2009,1,sober_chalk,Fire,350,34,0.6666666666666666,SESE_L,3,1
1513,BS433,2010,1,sober_chalk,Fire,350,34,0.6666666666666666,SESE_L,3,1
1514,BS433,2013,1,sober_chalk,Fire,350,34,0.3333333333333333,SESE_L,3,1
1515,BS433,2018,1,sober_chalk,Fire,350,34,0.25,SESE_L,4,1
1516,BS433,2022,1,sober_chalk,Fire,350,34,0.3333333333333333,SESE_L,3,1
1525,BS457,2007,1,chalk,Fire,443,34,0.35294117647058826,SESE_L,17,0
1526,BS457,2009,1,chalk,Fire,443,34,1.3333333333333333,SESE_L,6,1
1527,BS457,2010,1,chalk,Fire,443,34,1.3333333333333333,SESE_L,6,1
1528,BS457,2013,1,chalk,Fire,443,34,0.6666666666666666,SESE_L,9,1
1529,BS457,2018,1,chalk,Fire,443,34,0.14285714285714285,SESE_L,28,1
1530,BS457,2022,1,chalk,Fire,443,34,0.09090909090909091,SESE_L,11,1
1539,BS469,2007,1,sober,Fire,543,35,0.14285714285714285,SESE_L,7,0
1541,BS474,2006,0,dolan_chalk,Fire,289,41,0.13043478260869565,SESE_L,46,0
1542,BS474,2021,0,dolan_chalk,Fire,289,41,0.7407407407407407,SESE_L,27,1
1546,BS494,2007,1,control,No Fire,442,32,0.8181818181818182,SESE_L,11,0
1547,BS494,2010,1,control,No Fire,442,32,0.6666666666666666,SESE_L,12,0
1548,BS494,2013,1,control,No Fire,442,32,0.46153846153846156,SESE_L,13,0
1549,BS494,2018,1,control,No Fire,442,32,0.2,SESE_L,30,0
1550,BS494,2022,1,control,No Fire,442,32,0.11764705882352941,SESE_L,34,0
1558,BS513,2006,1,dolan,Fire,310,33,0.0,SESE_L,1,0
1559,BS513,2009,1,dolan,Fire,310,33,0.0,SESE_L,1,0
1560,BS513,2011,1,dolan,Fire,310,33,0.0,SESE_L,2,0
1561,BS513,2014,1,dolan,Fire,310,33,0.0,SESE_L,2,0
1562,BS513,2019,1,dolan,Fire,310,33,0.3333333333333333,SESE_L,3,0
1574,BS600,2007,1,sober,Fire,549,32,0.6,SESE_L,10,0
1575,BS600,2018,1,sober,Fire,549,32,0.6666666666666666,SESE_L,6,1
1576,BS600,2023,1,sober,Fire,549,32,0.2222222222222222,SESE_L,9,1
1577,BS601,2007,1,sober,Fire,603,25,0.15384615384615385,SESE_L,13,0
1578,BS601,2009,1,sober,Fire,603,25,0.15384615384615385,SESE_L,13,0
1579,BS601,2010,1,sober,Fire,603,25,0.15384615384615385,SESE_L,13,0
1580,BS601,2013,1,sober,Fire,603,25,0.08333333333333333,SESE_L,12,0
1581,BS601,2018,1,sober,Fire,603,25,0.1320754716981132,SESE_L,53,1
1582,BS601,2022,1,sober,Fire,603,25,0.1724137931034483,SESE_L,29,1
1583,BS603,2007,1,sober,Fire,491,31,0.0,SESE_L,10,0
1584,BS603,2009,1,sober,Fire,491,31,0.1111111111111111,SESE_L,9,0
1585,BS603,2010,1,sober,Fire,491,31,0.0,SESE_L,9,0
1586,BS603,2013,1,sober,Fire,491,31,0.0,SESE_L,8,0
1587,BS603,2018,1,sober,Fire,491,31,0.10526315789473684,SESE_L,38,1
1588,BS603,2022,1,sober,Fire,491,31,0.1,SESE_L,10,1
1589,BS604,2007,1,sober,Fire,550,33,0.21739130434782608,SESE_L,23,0
1590,BS604,2018,1,sober,Fire,550,33,0.034482758620689655,SESE_L,87,1
1591,BS605,2007,1,control,No Fire,119,35,0.6,SESE_L,5,0
1593,BS610,2007,0,dolan_chalk,Fire,206,44,0.02631578947368421,SESE_L,38,0
1594,BS610,2009,0,dolan_chalk,Fire,206,44,2.3333333333333335,SESE_L,9,1
1595,BS610,2021,0,dolan_chalk,Fire,206,44,2.0,SESE_L,10,1
1596,BS611,2007,1,dolan_chalk,Fire,378,35,0.30303030303030304,SESE_L,33,0
1597,BS611,2009,1,dolan_chalk,Fire,378,35,1.3571428571428572,SESE_L,14,1
1598,BS611,2010,1,dolan_chalk,Fire,378,35,0.2153846153846154,SESE_L,65,1
1599,BS611,2013,1,dolan_chalk,Fire,378,35,0.125,SESE_L,80,1
1600,BS611,2018,1,dolan_chalk,Fire,378,35,0.2916666666666667,SESE_L,72,1
1601,BS611,2021,1,dolan_chalk,Fire,378,35,18.333333333333332,SESE_L,3,1
1602,BS612,2007,1,dolan_chalk,Fire,415,34,0.48333333333333334,SESE_L,60,0
1603,BS612,2009,1,dolan_chalk,Fire,415,34,5.0,SESE_L,6,1
1604,BS612,2021,1,dolan_chalk,Fire,415,34,3.5555555555555554,SESE_L,9,1
1605,BS613,2007,1,dolan_chalk,Fire,291,40,0.05,SESE_L,20,0
1606,BS613,2009,1,dolan_chalk,Fire,291,40,1.2222222222222223,SESE_L,9,1
1607,BS613,2018,1,dolan_chalk,Fire,291,40,0.07692307692307693,SESE_L,13,1
1608,BS613,2021,1,dolan_chalk,Fire,291,40,0.17647058823529413,SESE_L,17,1
1609,BS620,2007,1,control,No Fire,284,36,0.07692307692307693,SESE_L,13,0
1610,BS621,2007,1,chalk,Fire,218,38,0.5416666666666666,SESE_L,72,0
1611,BS622,2007,1,control,No Fire,55,38,0.06666666666666667,SESE_L,15,0
1612,BS623,2007,1,control,No Fire,341,38,0.6666666666666666,SESE_L,9,0
1613,BS624,2007,0,control,No Fire,435,12,0.24651162790697675,SESE_L,215,0
1614,BS625,2007,1,control,No Fire,302,0,0.8333333333333334,SESE_L,6,0
1615,BS626,2007,0,control,No Fire,357,43,0.948051948051948,SESE_L,77,0
1616,BS627,2007,1,chalk,Fire,119,28,0.0,SESE_L,2,0
1617,BS627,2009,1,chalk,Fire,119,28,1.0,SESE_L,1,1
1619,BS629,2007,1,chalk,Fire,373,30,0.1111111111111111,SESE_L,27,0
1620,BS629,2009,1,chalk,Fire,373,30,0.8333333333333334,SESE_L,18,1
1621,BS629,2018,1,chalk,Fire,373,30,0.11235955056179775,SESE_L,89,1
1622,BS632,2007,0,sober_chalk,Fire,499,19,0.19047619047619047,SESE_L,21,0
1623,BS632,2009,0,sober_chalk,Fire,499,19,1.0,SESE_L,10,1
1624,BS632,2018,0,sober_chalk,Fire,499,19,1.027027027027027,SESE_L,37,1
1625,BS632,2023,0,sober_chalk,Fire,499,19,0.24242424242424243,SESE_L,33,1
1632,BS002,2006,1,control,No Fire,359,33,0.0625,SESE_M,0,0
1633,BS002,2010,1,control,No Fire,359,33,0.1875,SESE_M,0,0
1634,BS002,2013,1,control,No Fire,359,33,0.1111111111111111,SESE_M,1,0
1635,BS002,2018,1,control,No Fire,359,33,0.17647058823529413,SESE_M,0,0
1636,BS002,2022,1,control,No Fire,359,33,0.23076923076923078,SESE_M,0,0
1658,BS027,2006,1,control,No Fire,244,41,0.18181818181818182,SESE_M,0,0
1659,BS027,2009,1,control,No Fire,244,41,0.15384615384615385,SESE_M,0,0
1660,BS027,2010,1,control,No Fire,244,41,0.15384615384615385,SESE_M,0,0
1661,BS027,2013,1,control,No Fire,244,41,0.15384615384615385,SESE_M,0,0
1662,BS027,2018,1,control,No Fire,244,41,0.25,SESE_M,1,0
1663,BS027,2022,1,control,No Fire,244,41,0.25,SESE_M,0,0
1671,BS038,2007,1,dolan,Fire,553,33,0.22580645161290322,SESE_M,0,0
1672,BS038,2021,1,dolan,Fire,553,33,6.666666666666667,SESE_M,16,1
1678,BS045,2007,1,dolan_chalk,Fire,478,39,0.12,SESE_M,0,0
1679,BS045,2009,1,dolan_chalk,Fire,478,39,1.8571428571428572,SESE_M,9,1
1692,BS048,2007,0,dolan_chalk,Fire,475,20,0.1875,SESE_M,0,0
1693,BS048,2009,0,dolan_chalk,Fire,475,20,0.35714285714285715,SESE_M,2,1
1694,BS048,2021,0,dolan_chalk,Fire,475,20,0.0,SESE_M,5,1
1695,BS050,2007,0,dolan_chalk,Fire,670,18,0.12162162162162163,SESE_M,0,0
1696,BS050,2009,0,dolan_chalk,Fire,670,18,0.7450980392156863,SESE_M,5,1
1697,BS050,2021,0,dolan_chalk,Fire,670,18,1.7857142857142858,SESE_M,61,1
1698,BS052,2007,0,dolan_chalk,Fire,541,32,0.24242424242424243,SESE_M,0,0
1699,BS052,2009,0,dolan_chalk,Fire,541,32,3.4,SESE_M,37,1
1700,BS052,2010,0,dolan_chalk,Fire,541,32,3.2222222222222223,SESE_M,41,1
1701,BS052,2013,0,dolan_chalk,Fire,541,32,0.3617021276595745,SESE_M,5,1
1702,BS052,2018,0,dolan_chalk,Fire,541,32,0.26229508196721313,SESE_M,8,1
1703,BS052,2021,0,dolan_chalk,Fire,541,32,5.3,SESE_M,16,1
1704,BS053,2007,1,dolan_chalk,Fire,317,38,0.42857142857142855,SESE_M,0,0
1705,BS053,2009,1,dolan_chalk,Fire,317,38,0.3333333333333333,SESE_M,11,1
1706,BS053,2010,1,dolan_chalk,Fire,317,38,0.06666666666666667,SESE_M,9,1
1707,BS053,2013,1,dolan_chalk,Fire,317,38,0.034482758620689655,SESE_M,1,1
1708,BS053,2018,1,dolan_chalk,Fire,317,38,0.015625,SESE_M,1,1
1709,BS053,2021,1,dolan_chalk,Fire,317,38,5.2,SESE_M,35,1
1718,BS058,2007,0,dolan,Fire,744,25,0.09558823529411764,SESE_M,0,0
1719,BS058,2009,0,dolan,Fire,744,25,0.09375,SESE_M,1,0
1720,BS058,2010,0,dolan,Fire,744,25,0.08383233532934131,SESE_M,3,0
1721,BS058,2013,0,dolan,Fire,744,25,0.15,SESE_M,2,0
1722,BS058,2018,0,dolan,Fire,744,25,0.4122137404580153,SESE_M,2,0
1723,BS058,2021,0,dolan,Fire,744,25,0.9032258064516129,SESE_M,139,1
1724,BS059,2007,0,dolan,Fire,630,40,0.14516129032258066,SESE_M,0,0
1725,BS059,2021,0,dolan,Fire,630,40,0.28688524590163933,SESE_M,35,1
1760,BS081,2006,1,sober,Fire,308,23,0.16216216216216217,SESE_M,0,0
1761,BS081,2018,1,sober,Fire,308,23,0.34782608695652173,SESE_M,14,1
1762,BS081,2023,1,sober,Fire,308,23,0.3235294117647059,SESE_M,2,1
1764,BS084,2006,1,sober,Fire,432,36,0.0,SESE_M,0,0
1765,BS084,2010,1,sober,Fire,432,36,0.17647058823529413,SESE_M,0,0
1766,BS084,2013,1,sober,Fire,432,36,0.16666666666666666,SESE_M,0,0
1767,BS084,2018,1,sober,Fire,432,36,0.19148936170212766,SESE_M,4,1
1768,BS084,2022,1,sober,Fire,432,36,0.09090909090909091,SESE_M,9,1
1774,BS086,2006,1,sober,Fire,578,28,0.0,SESE_M,0,0
1775,BS086,2018,1,sober,Fire,578,28,0.07894736842105263,SESE_M,0,1
1776,BS086,2023,1,sober,Fire,578,28,0.11538461538461539,SESE_M,1,1
1777,BS087,2006,1,control,No Fire,508,27,0.38095238095238093,SESE_M,0,0
1787,BS098,2007,1,sober,Fire,478,39,0.65,SESE_M,0,0
1788,BS098,2018,1,sober,Fire,478,39,0.2903225806451613,SESE_M,16,1
1789,BS098,2023,1,sober,Fire,478,39,0.19047619047619047,SESE_M,2,1
1794,BS118,2006,1,sober,Fire,412,28,0.0,SESE_M,0,0
1799,BS123,2006,1,sober,Fire,293,17,0.0,SESE_M,0,0
1800,BS123,2018,1,sober,Fire,293,17,0.75,SESE_M,2,1
1801,BS123,2023,1,sober,Fire,293,17,0.25,SESE_M,0,1
1802,BS124,2006,1,sober,Fire,353,23,0.0,SESE_M,0,0
1803,BS124,2009,1,sober,Fire,353,23,0.0625,SESE_M,0,0
1804,BS124,2010,1,sober,Fire,353,23,0.0,SESE_M,0,0
1805,BS124,2013,1,sober,Fire,353,23,0.0,SESE_M,0,0
1806,BS124,2018,1,sober,Fire,353,23,0.7,SESE_M,0,1
1807,BS124,2023,1,sober,Fire,353,23,0.1,SESE_M,0,1
1808,BS125,2006,1,control,No Fire,380,20,0.06818181818181818,SESE_M,0,0
1814,BS129,2006,1,control,No Fire,340,25,0.0,SESE_M,0,0
1815,BS130,2006,1,control,No Fire,242,3,0.25,SESE_M,0,0
1816,BS130,2009,1,control,No Fire,242,3,0.3225806451612903,SESE_M,0,0
1817,BS130,2010,1,control,No Fire,242,3,0.25,SESE_M,0,0
1818,BS130,2013,1,control,No Fire,242,3,0.3333333333333333,SESE_M,0,0
1819,BS130,2018,1,control,No Fire,242,3,0.23333333333333334,SESE_M,1,0
1820,BS131,2006,1,control,No Fire,223,25,0.34375,SESE_M,0,0
1821,BS131,2009,1,control,No Fire,223,25,0.43548387096774194,SESE_M,0,0
1822,BS131,2010,1,control,No Fire,223,25,0.45901639344262296,SESE_M,0,0
1823,BS131,2013,1,control,No Fire,223,25,0.4166666666666667,SESE_M,1,0
1824,BS131,2018,1,control,No Fire,223,25,0.43636363636363634,SESE_M,5,0
1832,BS134,2006,1,sober,Fire,513,27,0.1111111111111111,SESE_M,0,0
1833,BS134,2018,1,sober,Fire,513,27,0.16,SESE_M,7,1
1834,BS134,2023,1,sober,Fire,513,27,0.0,SESE_M,4,1
1835,BS135,2006,1,sober,Fire,433,27,0.3064516129032258,SESE_M,0,0
1836,BS137,2006,1,control,No Fire,258,18,0.0,SESE_M,0,0
1840,BS140,2007,1,sober,Fire,293,15,0.0,SESE_M,0,0
1841,BS140,2009,1,sober,Fire,293,15,0.08695652173913043,SESE_M,0,0
1842,BS140,2010,1,sober,Fire,293,15,0.08695652173913043,SESE_M,0,0
1843,BS140,2013,1,sober,Fire,293,15,0.13043478260869565,SESE_M,0,0
1844,BS140,2018,1,sober,Fire,293,15,0.625,SESE_M,3,1
1845,BS140,2022,1,sober,Fire,293,15,0.5384615384615384,SESE_M,3,1
1859,BS147,2006,1,sober,Fire,399,36,0.0,SESE_M,0,0
1860,BS147,2009,1,sober,Fire,399,36,0.14285714285714285,SESE_M,0,0
1861,BS147,2010,1,sober,Fire,399,36,0.14285714285714285,SESE_M,0,0
1862,BS147,2013,1,sober,Fire,399,36,0.14285714285714285,SESE_M,0,0
1863,BS147,2018,1,sober,Fire,399,36,0.05154639175257732,SESE_M,1,1
1864,BS147,2022,1,sober,Fire,399,36,0.25,SESE_M,2,1
1876,BS151,2006,1,sober,Fire,490,10,0.16666666666666666,SESE_M,0,0
1877,BS152,2006,1,sober,Fire,389,18,0.019230769230769232,SESE_M,0,0
1878,BS156,2007,1,sober_chalk,Fire,403,34,0.5333333333333333,SESE_M,0,0
1879,BS156,2009,1,sober_chalk,Fire,403,34,2.0,SESE_M,15,1
1880,BS156,2018,1,sober_chalk,Fire,403,34,1.4912280701754386,SESE_M,7,1
1881,BS157,2007,1,sober_chalk,Fire,325,23,0.20454545454545456,SESE_M,0,0
1892,BS160,2007,0,sober_chalk,Fire,386,38,0.16666666666666666,SESE_M,0,0
1893,BS160,2009,0,sober_chalk,Fire,386,38,0.3333333333333333,SESE_M,1,1
1894,BS160,2010,0,sober_chalk,Fire,386,38,0.1,SESE_M,1,1
1895,BS160,2013,0,sober_chalk,Fire,386,38,0.08620689655172414,SESE_M,0,1
1896,BS160,2018,0,sober_chalk,Fire,386,38,0.5576923076923077,SESE_M,18,1
1897,BS160,2022,0,sober_chalk,Fire,386,38,0.2,SESE_M,20,1
1901,BS165,2007,0,sober_chalk,Fire,287,10,0.0625,SESE_M,0,0
1902,BS165,2009,0,sober_chalk,Fire,287,10,0.5833333333333334,SESE_M,0,1
1903,BS165,2010,0,sober_chalk,Fire,287,10,0.5,SESE_M,0,1
1904,BS165,2013,0,sober_chalk,Fire,287,10,0.4166666666666667,SESE_M,0,1
1905,BS165,2018,0,sober_chalk,Fire,287,10,0.09090909090909091,SESE_M,5,1
1906,BS165,2022,0,sober_chalk,Fire,287,10,0.0,SESE_M,0,1
1907,BS166,2007,0,sober_chalk,Fire,352,25,0.0,SESE_M,0,0
1908,BS166,2009,0,sober_chalk,Fire,352,25,1.0,SESE_M,0,1
1909,BS166,2018,0,sober_chalk,Fire,352,25,0.42857142857142855,SESE_M,7,1
1910,BS166,2023,0,sober_chalk,Fire,352,25,0.125,SESE_M,0,1
1911,BS167,2007,1,sober_chalk,Fire,409,36,0.10526315789473684,SESE_M,0,0
1912,BS168,2007,1,sober_chalk,Fire,317,35,0.0,SESE_M,0,0
1913,BS168,2009,1,sober_chalk,Fire,317,35,0.6,SESE_M,0,1
1914,BS168,2018,1,sober_chalk,Fire,317,35,0.5,SESE_M,4,1
1915,BS168,2023,1,sober_chalk,Fire,317,35,0.0,SESE_M,0,1
1923,BS177,2007,1,sober_chalk,Fire,540,36,0.11764705882352941,SESE_M,0,0
1924,BS186,2006,1,control,No Fire,235,22,0.25,SESE_M,0,0
1925,BS187,2006,1,chalk,Fire,114,16,0.2631578947368421,SESE_M,0,0
1926,BS187,2009,1,chalk,Fire,114,16,1.625,SESE_M,2,1
1927,BS187,2010,1,chalk,Fire,114,16,0.36363636363636365,SESE_M,5,1
1928,BS187,2013,1,chalk,Fire,114,16,0.3541666666666667,SESE_M,3,1
1929,BS187,2018,1,chalk,Fire,114,16,0.38461538461538464,SESE_M,0,1
1930,BS187,2022,1,chalk,Fire,114,16,0.2727272727272727,SESE_M,3,1
1935,BS190,2006,1,chalk,Fire,79,8,0.0,SESE_M,0,0
1936,BS190,2009,1,chalk,Fire,79,8,0.2,SESE_M,0,1
1937,BS190,2018,1,chalk,Fire,79,8,0.3103448275862069,SESE_M,1,1
1940,BS193,2023,1,sober_chalk,Fire,413,27,0.0,SESE_M,0,1
1971,BS207,2006,1,control,No Fire,305,33,0.18888888888888888,SESE_M,0,0
1972,BS210,2007,1,control,No Fire,25,40,0.34375,SESE_M,0,0
1981,BS219,2006,0,chalk,Fire,101,19,0.05405405405405406,SESE_M,0,0
1982,BS219,2009,0,chalk,Fire,101,19,0.95,SESE_M,0,1
1986,BS221,2006,1,sober_chalk,Fire,435,30,0.4,SESE_M,0,0
1988,BS221,2010,1,sober_chalk,Fire,435,30,0.09375,SESE_M,2,1
1989,BS221,2013,1,sober_chalk,Fire,435,30,0.16216216216216217,SESE_M,2,1
1990,BS221,2018,1,sober_chalk,Fire,435,30,0.875,SESE_M,1,1
1991,BS221,2023,1,sober_chalk,Fire,435,30,0.08695652173913043,SESE_M,1,1
1992,BS222,2006,1,sober_chalk,Fire,416,37,0.0,SESE_M,0,0
1993,BS222,2009,1,sober_chalk,Fire,416,37,1.6,SESE_M,3,1
1995,BS224,2007,1,sober_chalk,Fire,435,31,0.0,SESE_M,0,0
1996,BS224,2009,1,sober_chalk,Fire,435,31,1.4,SESE_M,0,1
1997,BS224,2010,1,sober_chalk,Fire,435,31,0.6666666666666666,SESE_M,2,1
1998,BS224,2013,1,sober_chalk,Fire,435,31,0.7142857142857143,SESE_M,0,1
1999,BS224,2018,1,sober_chalk,Fire,435,31,0.8,SESE_M,3,1
2000,BS224,2022,1,sober_chalk,Fire,435,31,0.4,SESE_M,1,1
2001,BS226,2006,1,sober_chalk,Fire,474,38,0.1,SESE_M,0,0
2002,BS226,2009,1,sober_chalk,Fire,474,38,5.333333333333333,SESE_M,5,1
2003,BS226,2018,1,sober_chalk,Fire,474,38,2.103448275862069,SESE_M,61,1
2004,BS226,2023,1,sober_chalk,Fire,474,38,0.45161290322580644,SESE_M,12,1
2005,BS228,2006,1,sober_chalk,Fire,600,40,0.0,SESE_M,0,0
2024,BS239,2006,1,control,No Fire,88,35,0.0,SESE_M,0,0
2025,BS239,2018,1,control,No Fire,88,35,0.21052631578947367,SESE_M,3,0
2026,BS240,2006,1,sober_chalk,Fire,305,39,0.3611111111111111,SESE_M,0,0
2027,BS241,2006,1,sober_chalk,Fire,361,39,0.08333333333333333,SESE_M,0,0
2028,BS241,2023,1,sober_chalk,Fire,361,39,0.1,SESE_M,4,1
2029,BS242,2006,1,sober_chalk,Fire,403,39,0.25,SESE_M,0,0
2030,BS242,2009,1,sober_chalk,Fire,403,39,1.4,SESE_M,2,1
2031,BS242,2010,1,sober_chalk,Fire,403,39,1.2,SESE_M,2,1
2032,BS242,2013,1,sober_chalk,Fire,403,39,1.2,SESE_M,2,1
2033,BS242,2018,1,sober_chalk,Fire,403,39,0.16666666666666666,SESE_M,6,1
2034,BS242,2022,1,sober_chalk,Fire,403,39,0.16666666666666666,SESE_M,0,1
2035,BS243,2006,0,sober_chalk,Fire,423,27,0.46153846153846156,SESE_M,0,0
2036,BS244,2006,0,sober_chalk,Fire,357,35,0.06976744186046512,SESE_M,0,0
2037,BS244,2009,0,sober_chalk,Fire,357,35,0.76,SESE_M,11,1
2038,BS244,2010,0,sober_chalk,Fire,357,35,0.425,SESE_M,13,1
2039,BS244,2013,0,sober_chalk,Fire,357,35,0.18571428571428572,SESE_M,2,1
2040,BS244,2018,0,sober_chalk,Fire,357,35,0.7222222222222222,SESE_M,19,1
2041,BS244,2023,0,sober_chalk,Fire,357,35,0.07894736842105263,SESE_M,2,1
2048,BS247,2006,0,sober_chalk,Fire,570,26,0.3181818181818182,SESE_M,0,0
2049,BS247,2009,0,sober_chalk,Fire,570,26,0.8709677419354839,SESE_M,43,1
2050,BS247,2010,0,sober_chalk,Fire,570,26,0.4811320754716981,SESE_M,49,1
2051,BS247,2013,0,sober_chalk,Fire,570,26,0.1958041958041958,SESE_M,2,1
2052,BS247,2018,0,sober_chalk,Fire,570,26,0.859375,SESE_M,49,1
2053,BS247,2022,0,sober_chalk,Fire,570,26,0.42105263157894735,SESE_M,10,1
2055,BS249,2006,1,sober_chalk,Fire,580,30,0.013071895424836602,SESE_M,0,0
2056,BS249,2009,1,sober_chalk,Fire,580,30,2.806451612903226,SESE_M,59,1
2069,BS260,2006,1,control,No Fire,240,11,0.0,SESE_M,0,0
2071,BS265,2006,0,control,No Fire,200,20,0.10852713178294573,SESE_M,0,0
2072,BS267,2006,1,control,No Fire,160,37,0.14285714285714285,SESE_M,0,0
2091,BS276,2006,1,chalk,Fire,357,22,0.16666666666666666,SESE_M,0,0
2092,BS276,2009,1,chalk,Fire,357,22,2.4285714285714284,SESE_M,4,1
2093,BS276,2023,1,chalk,Fire,357,22,0.2894736842105263,SESE_M,5,1
2094,BS277,2007,1,dolan_chalk,Fire,262,44,0.18181818181818182,SESE_M,0,0
2095,BS277,2009,1,dolan_chalk,Fire,262,44,3.4,SESE_M,2,1
2096,BS277,2021,1,dolan_chalk,Fire,262,44,4.5,SESE_M,18,1
2097,BS278,2006,1,dolan_chalk,Fire,384,41,0.13793103448275862,SESE_M,0,0
2098,BS278,2009,1,dolan_chalk,Fire,384,41,5.0,SESE_M,5,1
2099,BS278,2010,1,dolan_chalk,Fire,384,41,3.8,SESE_M,8,1
2100,BS278,2013,1,dolan_chalk,Fire,384,41,1.7142857142857142,SESE_M,4,1
2101,BS278,2018,1,dolan_chalk,Fire,384,41,0.42857142857142855,SESE_M,11,1
2102,BS278,2021,1,dolan_chalk,Fire,384,41,4.75,SESE_M,5,1
2103,BS279,2006,0,dolan_chalk,Fire,256,15,0.16,SESE_M,0,0
2104,BS279,2009,0,dolan_chalk,Fire,256,15,2.625,SESE_M,8,1
2105,BS279,2021,0,dolan_chalk,Fire,256,15,2.7142857142857144,SESE_M,71,1
2106,BS281,2006,0,dolan,Fire,92,33,0.18487394957983194,SESE_M,0,0
2113,BS283,2006,1,chalk,Fire,606,33,0.08333333333333333,SESE_M,0,0
2114,BS283,2009,1,chalk,Fire,606,33,3.5,SESE_M,4,1
2115,BS283,2010,1,chalk,Fire,606,33,0.1276595744680851,SESE_M,4,1
2116,BS283,2013,1,chalk,Fire,606,33,0.06779661016949153,SESE_M,1,1
2117,BS283,2018,1,chalk,Fire,606,33,0.21428571428571427,SESE_M,9,1
2118,BS283,2022,1,chalk,Fire,606,33,0.023809523809523808,SESE_M,0,1
2124,BS293,2006,1,control,No Fire,287,21,0.0,SESE_M,0,0
2126,BS295,2007,1,dolan,Fire,150,25,0.8461538461538461,SESE_M,0,0
2127,BS295,2009,1,dolan,Fire,150,25,0.8461538461538461,SESE_M,0,0
2128,BS295,2010,1,dolan,Fire,150,25,1.0,SESE_M,0,0
2129,BS295,2013,1,dolan,Fire,150,25,0.9166666666666666,SESE_M,0,0
2130,BS295,2018,1,dolan,Fire,150,25,1.0909090909090908,SESE_M,1,0
2131,BS295,2021,1,dolan,Fire,150,25,0.7,SESE_M,11,1
2132,BS296,2006,0,dolan_chalk,Fire,590,40,0.0,SESE_M,0,0
2133,BS296,2009,0,dolan_chalk,Fire,590,40,0.0,SESE_M,0,1
2134,BS296,2021,0,dolan_chalk,Fire,590,40,0.07017543859649122,SESE_M,0,1
2135,BS297,2006,1,dolan_chalk,Fire,618,30,0.3333333333333333,SESE_M,0,0
2136,BS297,2009,1,dolan_chalk,Fire,618,30,2.0,SESE_M,5,1
2137,BS297,2010,1,dolan_chalk,Fire,618,30,1.6666666666666667,SESE_M,7,1
2138,BS297,2013,1,dolan_chalk,Fire,618,30,0.8333333333333334,SESE_M,0,1
2139,BS297,2018,1,dolan_chalk,Fire,618,30,0.3333333333333333,SESE_M,2,1
2140,BS297,2021,1,dolan_chalk,Fire,618,30,0.6,SESE_M,18,1
2141,BS299,2006,0,dolan_chalk,Fire,199,40,0.09090909090909091,SESE_M,0,0
2142,BS299,2009,0,dolan_chalk,Fire,199,40,0.2,SESE_M,0,1
2143,BS299,2021,0,dolan_chalk,Fire,199,40,1.8571428571428572,SESE_M,2,1
2144,BS301,2006,1,dolan_chalk,Fire,510,27,0.15789473684210525,SESE_M,0,0
2145,BS301,2009,1,dolan_chalk,Fire,510,27,2.8333333333333335,SESE_M,1,1
2146,BS301,2010,1,dolan_chalk,Fire,510,27,1.9444444444444444,SESE_M,3,1
2147,BS301,2013,1,dolan_chalk,Fire,510,27,1.0344827586206897,SESE_M,0,1
2148,BS301,2018,1,dolan_chalk,Fire,510,27,0.30952380952380953,SESE_M,22,1
